ID_TA,Number of Reviews
d11903887,6
d6586183,1
d5872958,1
d8724590,1
d10299847,2
d13163531,1
d4770070,2
d9818436,2
d12447519,3
d3588914,1
d10895300,11
d12645890,5
d10491585,1
d4313262,2
d1408625,1
d12709879,1
d7124242,2
d13112112,4
d3641624,1
d3253728,4
d12936301,9
d719828,1
d12503689,5
d5958635,1
d12988498,12
d12286614,1
d12474788,1
d5519516,2
d4697027,2
d5976348,2
d10156990,1
d12438455,8
d10355476,1
d5952821,1
d7108760,1
d13223772,15
d12874472,3
d12934855,5
d11987807,5
d12658615,24
d10307768,1
d13163013,11
d13325428,9
d9754603,5
d7706988,1
d7396035,1
d13101885,9
d12953011,29
d10536824,1
d13226439,6
d9768445,1
d7246394,1
d10042646,1
d5123013,3
d12988313,4
d12563281,29
d12871767,41
d1367109,1
d11913770,4
d12882675,1
d12410514,7
d12685978,1
d13205467,146
d9791824,5
d7252240,1
d5526125,2
d13284380,1
d5860341,1
d1392639,1
d10697083,1
d8856363,1
d7254611,1
d12696444,5
d4770156,1
d12605368,272
d10376968,1
d11981682,8
d12910843,1
d1356845,1
d10512597,1
d9768082,2
d12043632,1
d9600324,1
d3493885,1
d7124519,1
d12695167,1
d3849447,3
d12956974,2
d7649506,2
d12294666,2
d7685497,1
d12058303,1
d13144634,4
d5776719,1
d2649249,1
d12644440,1
d1343048,1
d12503121,1
d12845029,1
d10058810,1
d8791087,1
d13197631,45
d12243659,18
d13284434,22
d12068247,2
d2424319,1
d13139218,2
d7243246,1
d8660001,2
d12572658,2
d4946996,1
d8339930,2
d12049003,1
d12384552,3
d10724032,1
d12114896,1
d5442851,1
d7996902,1
d1354477,1
d11958460,1
d12098434,2
d10079338,1
d12842987,2
d13226281,3
d12229735,1
d1043805,2
d7246537,1
d12175079,1
d4173077,1
d7724601,1
d12875617,4
d12172734,2
d11543758,1
d3735823,1
d12322989,3
d4768291,3
d10587448,18
d12873448,5
d11861153,1
d8571233,3
d9752550,2
d10818786,2
d7124393,1
d8602510,1
d11951673,23
d12404527,3
d7160467,1
d11812785,1
d11871901,2
d5583335,1
d7787852,1
d10467094,3
d11950716,2
d12883544,9
d13206566,9
d13153300,16
d7205059,5
d13152856,53
d6224819,1
d10524857,3
d7274076,1
d3367014,1
d10479056,1
d12691511,3
d5862958,1
d12395922,1
d7045726,1
d13125687,4
d5617497,1
d13284579,5
d12911571,2
d12408013,2
d13239000,20
d12567561,4
d7124407,1
d9740773,3
d717321,1
d8871731,1
d6380666,1
d10486190,1
d13133990,13
d6986251,1
d7123548,1
d939738,1
d8333948,8
d10529250,2
d1044850,1
d12933690,11
d5122077,1
d8339780,4
d10320753,1
d6107125,1
d12135807,1
d4769848,3
d11434812,4
d13002781,16
d12864876,17
d1320095,1
d11538645,1
d4758586,2
d12351411,1
d997606,1
d12857123,4
d13135431,2
d13282850,1
d11510425,3
d11829633,4
d1039258,1
d12421545,1
d11771269,1
d7123406,1
d13130053,4
d2096383,1
d1356813,2
d10034211,3
d10049578,1
d13129650,9
d12322543,1
d13082910,34
d13288611,10
d12149655,1
d10032359,1
d11500668,1
d4041933,1
d11719295,2
d8279370,1
d6458692,1
d3791760,1
d10662137,3
d12946257,1
d13081831,11
d13117362,3
d12874574,1
d8518295,2
d12792802,2
d12554634,5
d13205446,2
d13421037,29
d1486745,1
d4084438,2
d8339618,1
d1103687,1
d12558178,1
d4768775,1
d12832409,4
d7236057,2
d5816301,1
d718042,1
d986430,1
d6999656,26
d10365832,2
d10470712,1
d4793252,1
d991499,2
d8385113,1
d8774827,1
d13189517,18
d12501561,3
d11712376,1
d4914376,3
d5243162,2
d5259633,1
d12959653,23
d1390604,1
d13125943,3
d3200465,4
d13008535,1
d10347570,1
d13234497,11
d5936442,1
d13201288,58
d10517142,1
d8017741,1
d10019835,1
d5955847,1
d7342196,1
d5795620,1
d12242560,32
d8848749,1
d5794562,2
d12850963,4
d13199889,60
d1234581,1
d697197,1
d1037140,4
d9882080,1
d12431424,1
d718357,1
d1657483,1
d13126117,3
d12978805,2
d7123598,1
d12506505,1
d12865525,1
d12824847,2
d13172157,12
d3576247,1
d10584149,1
d8819098,1
d13274922,10
d9561885,1
d4928913,2
d5972492,1
d1195848,9
d12560018,1
d12557822,1
d4221407,1
d3136268,1
d9824211,1
d10266278,1
d9809593,1
d720646,2
d5959108,1
d8261504,1
d12621405,7
d13197525,4
d7294241,1
d10071825,1
d1571579,1
d10288999,1
d12625557,271
d13149351,7
d4770140,1
d12731915,2
d7604228,1
d5794927,1
d12716306,3
d9766113,1
d8581485,2
d1185140,1
d8361333,1
d10416601,1
d2085945,1
d1044344,2
d7597162,1
d7811215,1
d13129071,9
d13477951,1
d5816217,1
d12438465,2
d5523143,1
d13195587,3
d11668002,4
d12210518,1
d12944013,5
d3439658,2
d12071777,1
d5489226,1
d8610209,1
d8130518,1
d8537733,1
d11737291,2
d5027108,1
d12867921,1
d878295,1
d12148796,1
d8834124,1
d12926411,1
d13289876,2
d7897018,1
d1093661,1
d12394472,1
d13116812,1
d12388275,1
d12645762,2
d12362761,20
d2708688,1
d12551161,18
d12714398,11
d10458829,1
d7124148,1
d13298288,33
d10045197,2
d12949974,7
d7083435,1
d3568532,1
d12948479,2
d12926349,112
d8051417,2
d12331315,8
d13115764,6
d12950426,340
d8873363,1
d3250778,1
d5079223,1
d9731847,2
d12718154,4
d8715608,1
d10804548,4
d5440386,1
d12342225,1
d3163336,3
d6874868,1
d10188263,3
d4523130,2
d12844056,7
d5795229,1
d9730844,1
d4782938,1
d11895709,3
d4176712,1
d5220267,4
d7810324,1
d9821093,1
d7316049,1
d7154757,1
d5788938,7
d11827759,2
d10478201,1
d9729242,1
d13283785,27
d7277869,1
d12822105,1
d6610712,1
d2717760,1
d6479082,1
d12938820,3
d1441087,1
d7123968,2
d12535806,117
d8339966,1
d2626097,1
d12571872,4
d1045067,1
d12859960,2
d10463660,1
d8126733,1
d4894368,1
d13189918,3
d12345338,1
d8059389,1
d13313019,13
d7124099,1
d11890774,1
d8642360,3
d8020108,1
d12866521,2
d8537653,1
d11804604,3
d8795367,1
d6484155,1
d12801621,3
d12581319,2
d4523210,2
d5243111,1
d6618592,1
d8396334,1
d12872056,2
d12674982,3
d13083533,8
d11953114,58
d10314483,7
d5489499,5
d12963001,40
d4869692,1
d8574615,1
d7124004,1
d7148431,1
d10073799,2
d12281790,1
d1381569,1
d970070,1
d13296811,24
d10400824,2
d3929215,1
d12712244,3
d12809213,2
d8339754,1
d997608,1
d4767800,1
d13307726,19
d9570812,2
d12415049,1
d7124403,2
d12353487,1
d12868561,6
d13296894,15
d4911290,1
d5853771,1
d1126334,1
d4769127,4
d12941805,3
d13090225,1
d6975911,1
d695169,1
d12438915,3
d12882182,7
d5037158,1
d11845274,1
d11905347,1
d2615209,1
d12691333,3
d8143844,2
d4768419,1
d12936857,19
d10782466,2
d13313742,603
d12259416,1
d7274071,2
d9566719,1
d740562,1
d12794200,2
d12840183,28
d13087336,6
d12184436,1
d10119558,1
d10494780,4
d2403779,1
d11650771,199
d12086831,12
d10479257,2
d1044683,1
d11180137,1
d5122066,2
d8336199,1
d1344567,3
d10227074,1
d1408643,1
d10031781,1
d997902,1
d7278591,2
d2333087,1
d12398758,2
d7755331,1
d5513568,3
d13323876,20
d12593503,3
d11815592,1
d10354535,1
d8773673,4
d8374350,1
d12653872,5
d12663216,1
d11807584,1
d12907038,1
d12243652,3
d10467852,30
d4295316,2
d13130305,2
d1346410,1
d12975733,50
d7177813,1
d7704824,1
d12554985,2
d1520748,1
d6847457,1
d9807418,1
d7646307,1
d12170237,2
d12725106,3
d12459158,2
d1044859,1
d7009351,1
d12051419,1
d10036970,2
d12831436,1
d4191973,1
d2709308,1
d12986583,1
d10613450,1
d5264393,1
d11444223,3
d12511912,1
d7123300,1
d13222806,8
d13322773,5
d11891423,1
d12188872,1
d12595830,2
d4223621,1
d2303957,1
d12252151,1
d9746329,4
d13138647,7
d12963283,5
d10686709,1
d10238246,1
d12207887,17
d1221241,1
d12901191,1
d2424335,1
d7246419,2
d5416433,2
d10121032,1
d5821532,1
d12681930,4
d12281218,1
d10595748,1
d10119696,1
d8286616,1
d12728587,18
d11749392,11
d697495,1
d13448920,10
d8618839,1
d12099522,139
d1336436,1
d12367943,1
d13172573,5
d12945767,1
d8341119,2
d11903301,1
d12877045,1
d5864094,1
d4567619,1
d10926213,3
d6654430,1
d5487305,1
d2565207,1
d13002706,3
d1043452,1
d7257385,2
d7604609,2
d12323318,2
d5981454,1
d953869,1
d964392,3
d4769835,2
d8356846,1
d12995124,1
d11701638,1
d5823734,1
d10809300,1
d12856867,3
d12921238,1
d11672861,1
d11659486,1
d12403563,9
d12327525,4
d12484825,2
d12557369,5
d13140195,4
d2179931,1
d6408073,1
d11779008,2
d13001031,7
d12286589,1
d5793149,3
d12120952,1
d987862,1
d5977410,4
d7123807,1
d8339657,2
d11722642,1
d13128175,25
d7002316,1
d12718013,15
d4769850,2
d2716915,1
d1418401,1
d4767695,1
d12951633,2
d12128375,4
d12814397,8
d10257704,1
d10745091,1
d7381256,2
d8855240,1
d8066638,1
d5967142,1
d12863016,2
d13138355,57
d1044376,1
d12480641,3
d7365820,1
d13008769,10
d12944085,1
d13124268,28
d13168011,9
d1093698,1
d13137452,1
d5928000,1
d9831596,3
d13134976,8
d9791609,2
d10597222,3
d12333767,6
d13323033,7
d12173513,12
d12511265,3
d12115354,1
d10044991,3
d9808238,4
d11662075,1
d11719480,1
d2354931,1
d12924018,21
d12616105,1
d12829129,5
d12323149,3
d697439,1
d752024,1
d1437776,1
d12640836,5
d6892655,1
d10041704,2
d3365247,1
d10746733,2
d12621246,1
d2630257,1
d3842071,1
d12429488,1
d13118046,3
d10673544,2
d11535573,1
d12911510,1
d10781416,1
d12145665,1
d12430691,2
d7124051,2
d5808982,1
d4138116,1
d11863669,2
d7314699,1
d7123983,1
d13110521,4
d9849074,1
d5603650,1
d8665899,1
d12218015,2
d4221315,1
d694690,1
d5874770,2
d10763390,3
d12235014,5
d10520812,9
d12827306,8
d5509753,1
d10467233,3
d1359321,1
d986484,1
d12629402,1
d12115169,5
d12448243,3
d13370579,6
d13325878,6
d13141931,7
d11805973,1
d10440503,2
d5825901,1
d13124587,9
d12200200,5
d10100590,1
d12195321,3
d7934344,1
d7779011,1
d5313685,1
d12365788,1
d11903360,1
d10629933,3
d8506748,1
d3804383,1
d12383658,1
d12018135,1
d12596674,1
d8469748,2
d5804248,1
d1035132,1
d8339914,2
d12408653,1
d4888776,1
d11667031,2
d4769994,2
d13073178,5
d10838686,1
d1747477,1
d10760483,1
d10335864,1
d12899302,1
d12590374,2
d12966411,30
d4259609,1
d8862199,2
d10123084,1
d13236358,10
d11094480,1
d8463610,1
d10453899,1
d11677886,2
d5048802,1
d7303597,1
d13007626,1
d1346452,1
d10092998,1
d2307161,1
d4770041,1
d12644299,1
d12437980,5
d10380024,1
d13125675,9
d12029240,1
d981805,1
d7710502,2
d5220238,2
d945300,2
d5489021,1
d12406954,1
d7096186,1
d10643047,1
d12682249,4
d10250645,1
d1051991,1
d11726692,1
d10729662,2
d13126274,5
d13196483,24
d1044884,1
d6920126,1
d1961665,1
d4769189,2
d13142340,10
d12705373,1
d12787416,3
d2514252,1
d12706207,77
d13128539,1
d11878056,10
d11667056,1
d5949091,1
d12511809,1
d10247952,1
d10751007,1
d12357250,3
d5493285,1
d12462827,6
d12320797,4
d13295128,140
d12320624,2
d7114413,1
d10353194,2
d12362311,7
d13313748,43
d11909286,1
d12945716,2
d13153502,2
d12795805,1
d11729216,2
d6614670,1
d13002809,1
d5851755,1
d8543091,3
d9848583,2
d3469308,1
d13222001,3
d716273,2
d12915944,1
d12956550,3
d10805589,4
d12946443,5
d5863923,2
d13284225,4
d4084875,1
d7112143,1
d12878787,1
d7319177,29
d7193135,1
d10766081,9
d8472692,1
d5771798,1
d2061142,1
d5519160,1
d13171766,3
d12981885,8
d11659366,1
d12653033,2
d13405584,6
d8606830,1
d5795647,1
d8363899,1
d9585526,1
d12436717,2
d1381384,1
d5817299,1
d7123545,1
d12959772,1
d8807807,1
d13149199,20
d13135742,4
d5768344,1
d7124048,2
d13292606,15
d11933039,211
d3374771,1
d10108860,1
d12694862,2
d10496201,2
d805474,3
d5121446,1
d10357129,2
d8338479,1
d8464894,1
d4352024,1
d9974974,1
d11916719,6
d12542786,1
d12158176,4
d12242272,3
d5509303,1
d9766274,1
d9596611,1
d4453348,1
d7123241,1
d13323261,7
d8692585,2
d1050549,3
d695131,1
d8682347,1
d11753783,1
d12336098,2
d12991592,2
d8341126,2
d3511763,4
d13136328,10
d13008588,4
d7755549,1
d1967662,3
d13004913,23
d4519869,1
d5776220,1
d1389472,2
d990772,1
d8768713,4
d10267135,1
d8460536,3
d997943,1
d12597937,1
d7653757,1
d11789075,3
d1335702,1
d7123992,4
d12191998,3
d7124168,1
d12607828,1
d11916478,2
d12158032,9
d12858841,6
d7138244,1
d5981839,2
d5270630,2
d13076814,7
d9790245,3
d4911420,3
d6353458,1
d10198118,1
d10538213,1
d12999419,15
d13417628,5
d5587738,1
d6886284,2
d2141891,1
d5965954,1
d12123930,1
d10214438,1
d12950858,1
d8319843,1
d3974453,1
d12692843,2
d8673906,3
d10498527,4
d7021352,1
d4911023,2
d13200549,1
d13272833,1
d7298618,1
d12091192,1
d2705977,1
d13312967,53
d12112464,3
d7648873,1
d12926154,5
d13197442,25
d12611014,5
d13074167,1
d8665104,1
d4226191,1
d7691348,1
d12165888,2
d4177590,2
d12458675,1
d13219842,6
d10965926,1
d7124224,1
d13076704,4
d9995787,1
d12947949,36
d5870519,1
d2437362,1
d2262702,2
d945071,3
d11717682,3
d5523436,2
d7123994,1
d5823827,1
d10416631,1
d12852541,6
d10243628,1
d12592916,367
d3974430,1
d12622341,6
d12161485,1
d9730729,1
d10230549,1
d4732369,1
d8122532,3
d5866674,1
d11280197,4
d12273789,3
d4506178,1
d12651842,5
d13138496,9
d7003998,1
d8037921,1
d5895382,2
d1335030,1
d10805400,8
d4924830,2
d10066656,1
d12612805,8
d9839698,1
d12421714,2
d733506,2
d2722135,11
d13431184,3
d11768645,2
d12551017,3
d11444722,1
d4833405,5
d8715545,4
d12438320,3
d10467092,1
d13154033,1
d11864713,5
d5822495,1
d753285,1
d13002134,6
d7690484,1
d12523673,8
d11621671,1
d1323406,1
d3295171,1
d12103854,3
d12141815,4
d9595693,1
d3258534,2
d13129631,1
d12219483,2
d12110249,3
d12316070,4
d5808934,2
d13198135,26
d10058519,1
d5615803,2
d10537782,2
d6786766,4
d5511124,1
d12478889,4
d12001755,5
d5518769,1
d4769088,1
d6180189,1
d7124521,2
d5848182,1
d5522937,1
d7315727,1
d13076167,1
d13072134,29
d12320440,1
d1504636,1
d7278610,1
d8341288,2
d11854535,2
d10127178,1
d12975535,6
d4998099,2
d12829445,10
d13183971,25
d10834831,1
d12940437,2
d12977991,18
d5527449,2
d11624752,2
d12194732,4
d7133658,1
d8339788,1
d10161562,1
d4262853,1
d8338577,1
d4586815,1
d12387279,121
d12786386,4
d9580170,1
d12929682,7
d12900993,3
d5823986,1
d13139834,1
d12542816,3
d5796467,1
d1111157,1
d5966152,2
d6525570,1
d6788113,1
d5956749,2
d12998325,12
d10716601,2
d12712669,5
d8673977,3
d1403890,1
d11801708,14
d991312,1
d12632862,6
d9722757,2
d958963,1
d12677184,1
d6846679,1
d13288399,73
d4723957,1
d10027294,6
d12922095,4
d3169970,1
d10831160,1
d1331543,1
d6510485,1
d9814441,1
d12861211,2
d8811394,1
d12515485,1
d1977833,1
d13302823,12
d7123209,1
d12356580,2
d1323123,1
d7021016,1
d4802168,1
d991656,1
d8552416,1
d2697780,1
d5007171,1
d8621252,1
d12849016,1
d10132426,1
d12632652,23
d7342756,1
d8686804,1
d10301906,1
d12655466,1
d7262216,1
d4875887,1
d13295201,2
d1829030,1
d8340826,1
d12192128,13
d12947402,9
d10542709,1
d11045408,1
d11905158,2
d8638476,1
d11785143,1
d12476664,2
d10354357,1
d787818,1
d4769952,1
d8281800,2
d10807908,1
d7123480,1
d13134185,34
d10374164,1
d12283455,1
d5524012,1
d7124444,1
d6506997,1
d8380873,1
d3266139,1
d4769456,1
d12999946,1
d12010133,1
d9453464,2
d10815687,1
d9745904,3
d11915795,1
d964383,1
d5984683,1
d7124092,2
d5616558,9
d5785822,1
d8340159,4
d3514427,1
d12473849,4
d12631537,6
d8660552,1
d719135,1
d12804740,14
d11802014,1
d6601390,1
d12632847,1
d7110813,1
d12686116,7
d10506872,9
d4767766,1
d1035116,1
d5851564,1
d13147164,1
d5878125,1
d753156,1
d4328803,1
d6110037,1
d10830640,1
d10170400,2
d10153813,1
d5794546,1
d12225305,1
d12543272,3
d12801498,1
d10027139,1
d4768616,1
d5799840,1
d13291104,3
d13227835,103
d13075250,2
d11996108,1
d783229,3
d12805951,2
d5505626,1
d9836714,1
d11822912,1
d7031910,2
d8600524,2
d13186462,3
d9989990,1
d7123989,1
d3354475,1
d13130630,18
d13503746,1
d12326504,1
d12556171,1
d6757866,1
d5122227,1
d10297991,2
d12674946,1
d11868237,1
d12879374,8
d12998979,5
d4589830,1
d12867101,1
d10962087,8
d10783904,3
d12954408,8
d12495891,2
d2243373,1
d730158,1
d12626584,2
d11621028,1
d12221763,1
d8074379,1
d12143734,1
d10784394,2
d7274394,1
d8438032,4
d991085,1
d11489110,1
d5795555,1
d3264639,1
d10673098,1
d1081665,1
d12667739,4
d10302223,1
d11949500,1
d7123865,2
d11664126,3
d8432775,1
d11534991,3
d6385546,1
d1330657,1
d7124216,1
d11981372,1
d988032,1
d11331369,2
d10056434,4
d5103766,1
d11236008,6
d7685971,2
d13289856,7
d5870862,2
d10460852,1
d5861809,1
d12622144,5
d742381,1
d12945633,4
d2141180,2
d12343070,3
d896961,1
d12503403,6
d5501232,1
d11641294,1
d7789644,2
d1324361,1
d1423496,1
d10247976,5
d10840231,4
d4755648,1
d12012803,1
d5617414,1
d1152116,1
d10746617,1
d1018490,1
d13137946,18
d12614060,6
d694495,1
d7253712,1
d10254240,1
d11959983,1
d13187320,5
d5243286,2
d5122170,1
d13283799,6
d8482458,1
d4783400,1
d1328889,1
d2428921,1
d4581860,1
d11822115,2
d12941561,1
d5958006,1
d8460531,3
d10338097,3
d12212430,2
d5487276,2
d12871470,5
d5817006,1
d5487494,1
d13373138,83
d10252532,1
d13481992,7
d12353342,5
d5326187,4
d5768846,2
d5827146,2
d8811794,1
d8736862,1
d12848114,1
d6716427,1
d954447,1
d11711213,4
d11953811,81
d4104821,1
d8844334,2
d5823550,1
d12814073,5
d13196377,44
d13316524,35
d12944877,12
d1216006,1
d12152093,6
d13295123,33
d719802,2
d13000895,1
d12811450,3
d11887540,1
d6558095,1
d13239532,7
d12899021,3
d12950184,3
d5776508,2
d12484546,1
d4050485,8
d4148790,1
d4925397,1
d10025976,1
d12662545,1
d11619603,2
d740168,2
d7999004,4
d7124482,2
d5793552,1
d13421072,3
d5609015,2
d12711932,2
d12095037,1
d5814866,3
d5616126,1
d12143981,2
d5122055,1
d4043779,1
d11896158,1
d13154458,1
d10795652,2
d12321597,2
d12861342,2
d946740,3
d10151309,2
d5247599,1
d753452,1
d10729053,1
d9978314,1
d11932473,4
d11705249,3
d10364862,4
d10050679,1
d5646702,1
d12655941,1
d3721673,1
d12716346,4
d6022580,2
d9729069,2
d12946237,9
d10948259,1
d8494036,1
d10763125,3
d4723580,1
d3524644,1
d8154190,1
d8765683,1
d6405048,1
d12535596,10
d8380890,2
d10158548,1
d12932686,2
d3695854,1
d5851549,1
d8633173,1
d10480552,1
d13219471,11
d991134,1
d3859890,1
d12945924,143
d1043860,6
d11739342,5
d10211859,1
d13094735,9
d13198034,3
d12992754,2
d12925194,3
d1093033,1
d3953017,1
d12331250,1
d7713871,1
d12882677,4
d10617521,2
d13111916,1
d5518843,1
d12234830,19
d12227911,3
d13320816,9
d5812335,4
d4925580,1
d1035321,1
d13138821,17
d2615542,2
d5799795,1
d10467138,2
d1035339,1
d4563690,1
d13220144,6
d5790321,1
